recognize," vt. 认出,认可,承认,意识到,表示感激"
environment," n. 环境,外界"
alphabet," n. 字母表,基本原理(元素)，符号系统"
bake," vt. 烘焙,烤
vi. 烘焙,烤,变得炎热
n. 烘焙,烤"
hesitate," vi. 犹豫, 停顿，口吃，迟疑，踌躇
vt. 用犹疑的态度表示"
forth," adv.向前，向前方； 露着的，往外的； [废语]出外，离家
prep.出自，从…离开"
barrel," n. 桶, 一桶的量, 大量, 枪管, 炮管, 笔管, 汽油桶
vi. 快速移动
vt. 把...装桶"
hungry, adj. 饥饿的，渴望的
agency," n. 代理,代理处,政府机构"
shed," n. 车棚,小屋,脱落物
vt. 使...流出,散发,脱落,除掉"
grizzly," adj. 灰(白)色的, 灰白的
n. 灰熊"
distinction, n. 区别; 卓越; 殊荣
heap," n. 堆,许多,累积
vt. 使成堆,装满
[计算机] 堆"
defy," vt. 反抗,藐视,挑衅"
sample," n. 样品,标本
vt. 采样,品尝
adj. 样例的"
descent," n. 下落,家世,倾斜,侵袭"
fire," n. 火,火灾,射击
v. 点燃,解职,开枪"
crush," n. 压碎, 拥挤的人群, 迷恋, 关键时刻, 果汁, 榨汁酿酒
vt. 压破, 征服, 挤入, 镇压
vi. 被压碎, 挤"
frontier," n. 边界,边境，尖端，边缘"
attendant," adj. 伴随的
n. 服务员, 侍从, 伴随物, 出席者"
statistics, n. 统计；统计学；[统计] 统计资料
purify, v.(使）净化，（使）精炼，涤罪
vibration," n. 震动, 颤动"
chemist," n. 化学家, 药剂师"
quality," n. 品质, 特质, 才能
adj. 高品质的"
extensive," adj. 广泛的,广阔的"
height," n. 高度,高处,身高, 最高峰, 极点"
asleep," adj. 睡着的,已死的，不活跃的，麻木的
adv. 处于或进入睡眠状态地，陷入麻木不仁状态地"
formula," n.   公式,配方,规则；代乳品
adj. （赛车的）级的，方程式的"
acceleration," n. 加速,促进,加速度"
past," adj. 过去的
adv. 过
n. 过去
prep. 过,经过"
deadly," adj. 致命的, 致死的
adv. 非常地, 如死一般地"
lemon, n. 柠檬
freshen," v.（使）变新鲜，（使）减少咸味, (风)变强"
drought, n. 干旱
permit," n. 许可证,执照
vt. &vi. 允许,许可"
gracious," adj. 亲切的, 高尚的"
synthesis," n. 合成,综合,推理"
romance," n. 冒险故事, 浪漫史, 传奇文学"
guest," n. 客人, 客串演员, 特邀来宾
vt. 款待
vi. 作客"
whatever," pron.&amp;conj. 无论什么
adj. 不管怎样的
det. 不管什么,无论何事"
rough," adj.粗糙的，崎岖不平的； 粗鲁的； 狂暴的，汹涌的； 未经加工的
vt.粗暴地对待； 使粗糙； 草拟
n.粗糙的部分； 艰难，苦难； （高尔夫球场的）深草区
adv.粗暴地
vi.举止粗野"
reciprocal," adj. 相互的,互惠的,互补的
n. 相互, 互惠
[数］ 倒数"
constitute," vt. 构成,建立,任命"
stability," n. 稳定性,居于修道院"
incur," v. 招致,蒙受,遭遇"
mixture," n. 混合, 混合物"
conductor, n. 售票员，导体，指挥
performance, n.表演； 演技； 表现； 执行
protect," vt. 保护,投保
vi. 提供保护"
annoy," vt. &vi. 使...苦恼,骚扰, 使生气"
rational," adj. 合理的,理性的,能推理的
n. 有理数"
seriously," adv. 认真地, 严肃地, 严重地"
ambition," n. 雄心,野心,抱负,精力
vt. 有...野心,追求"
lake, n. 湖
awfully," adv. 可怕地, 非常地, 极端地"
explicit," adj. 明确的,详述的，明晰的,外在的"
depress," vt. 使...沮丧,按,降低
[计算机] 降低"
example," n. 榜样,例子
vt. 把...作为例子"
exceedingly," adv. 非常(极其, 极度地, 很)"
singular," adj. 个人的,单数的,独一的,唯一的,非凡的
n. 单数"
would," aux.将，将要； 愿意； 会，打算； 大概
v.(will 的过去式，用于转述)将"
commodity," n. 商品, 日用品"
fast," adj.快的； 走得快； 感光快的； 紧的
adv.（比准确的时间或宣布的时间）快； 迅速地； 紧紧地； 彻底地
vi.禁食，（尤指）斋戒
n.禁食期，斋戒期； 断食，节食"
dozen," n. (一)打,十二个
adj. 一打的, 十二个的"
panic," n. 恐慌,惊惶
adj. 惊慌的,没有理由的,恐慌的
vt. 使...惊慌"
position," n. 位置, 职位; 状态, 立场
vt. 安置, 决定...的位置"
reserve," n. 预备品, 贮存, 候补
n. 克制, 含蓄
vt. 保留, 预订, 延期"
royal," adj. 王室的,盛大的,极度的
n. 贵族,顶帆"
satellite," n. 卫星,卫星城,随从"
dawn," n. 破晓，开端
vi. 破晓,逐渐明白"
everybody," pron. 每人, 人人，各人"
Welsh," vi. [俚]不付赌金而溜掉, 逃避责任
Welsh: n. 威尔士人(语）
adj. 威尔士人的，威尔士语的"
wolf, n. 狼
pioneer," n. 先锋,拓荒者,先驱生物
vt. 提倡,开辟
vi. 做先驱"
innocent," adj. 无罪的, 不懂事的, 无知的, 无辜的"
reservation, n. 预定，保留意见
pop," n. 取出,砰然声,流行乐曲,流行文化艺术,（尤用作称呼）爸
adj. 流行的,热门的,通俗的
vt. 取出,发出爆裂声,突然伸出,击打,开火
vi. 发出砰的一声，（因激动、惊奇）张大
adv. 突然间地, 暴发地
POP abbr.=point of purchase
POP abbr.=population 人口"
proceed," vi. 继续进行; 开始, 着手"
queue," n. 行列,长队
v. 排队
vi. 排长队"
casualty," n. 变故,伤亡者,伤亡人数"
edge," n. 边,边缘,刀口
vt. 给...加上边,缓慢横过,使逐渐丧失
vi. 徐徐前进"
racket," n. 球拍, 喧闹纷乱"
warning," n. 警告, 预告, 通知
vbl. 警告, 注意, 通知"
schooling," n. 学校教育, 学费
动词school的现在分词形式"
reconcile," vt. 和解,调和,妥协
vi. 调和"
cinema," n. 电影院,电影"
intention," n. 意图,意向,目的"
profession," n. 职业,专业,声明,信仰"
maintenance," n. 维护, 保持, 维修, 生活费用
n. 供给, 抚养; 主张"
accordance," n. 符合,一致"
decrease," n. 减少(量),降低
vt.& vi. 减少,降低"
guidance," n. 引导,指导,导航系统"
stormy," adj. 暴风雨的, 激烈的，粗暴的"
professional," adj. 职业(上)的,专业的
n. 专业人员"
inject, v. 注射
garbage," n. 垃圾, 食物残渣, 废物"
Soviet," adj. 苏联的, 苏维埃的
n. 苏维埃"
privilege," n. 特权,特别恩典,基本人权,荣幸
vt. 给特权,免除"
addition," n. 增加,附加物,加,加法"
warn," vt. 警告,注意,远离
vi. 提醒"
decline," n. 衰微, 跌落; 晚年
v. 降低, 婉谢"
creation," n. 创造, 创作"
wealth," n. 财产,财富,大量,丰富"
marathon," n. 马拉松, 耐力的考验"
desert," n. 沙漠,荒地,应得(的惩罚或奖励)adj. 沙漠的,荒凉的vt. 遗弃vi. 擅离职守"
basically," adv. 基本上, 主要地"
bride, n. 新娘
readily," adv. 不迟疑地,迅速地,轻易地"
text," n. 本文, 文件, 正文, 课文
vt. &vi. 发短信"
gradually, adv. 逐渐地
receive," vt. 收到,接受,迎接,容纳,遭受,相信
vi. 接到,获得"
peninsula, n. 半岛
collection," n. 收藏品,收集物,小组,集合"
pint, n. 品脱
elemental," adj. 元素的, 基本的，自然力的
n. 元素"
diabetes, n. 糖尿病
aerospace," n. 宇宙空间，航空航天学,航空航天工业
adj. 航天的，太空的"
prince," n. 王子, 亲王, 佼佼者"
salad," n. 色拉,凉拌生菜,杂烩"
executive," n.总经理； 行政部门； [计算机]执行指令
adj.执行的； 管理的； 政府部门的"
border," n. 边缘
vt. 作...之疆界,加边"
volunteer," n. 志愿者,自行生长的植物
adj. 志愿的,自行生长的(树等)
vt. &vi. 自愿(做)"
overflow," n. 溢值,超值,泛滥
v. 泛滥,溢出,充溢
[计算机] 溢出"
up-to-date," adj. 最新的,现代的"
hysteric," adj. 亢奋的，歇斯底里的
n. 歇斯底里，歇斯底里的人"
tightly," adv. 紧紧地, 坚固地"
cattle," n. 牛
n. 家畜，马，无价值的人，畜牲"
cunning," adj. 狡猾的,有眼光的,精巧的,可爱的
n. 狡诈,灵巧"
support," n. 支持, 援助, 供养
vt. 支援, 帮助, 支持"
pavement, n. 人行道
penicillin, n. 青霉素
resistance," n. 抵抗力,反抗,反抗行动;阻力,电阻;反对
adj.  抵抗的"
helmet," n. 头盔, 遮阳帽, 盔甲"
copper," adj. (紫)铜色的,铜(制)的
n. 铜,铜币,铜制品"
shake," n. 摇晃,震动,地震,颤抖(音),奶昔,短时间
vi. 摇晃,颤抖,跌跌撞撞,握手,发颤音
vt. 挥拳,摇晃,去除,动摇,排掉(灰尘),握手"
chemistry," n. 化学,化学性质,相互作用"
irritate," vt.& vi. 激怒,使...发怒, 使疼痛或发炎"
deceive," vt. 欺骗
vi. 行骗"
furry," adj. 毛皮的, 盖着毛皮的, 似毛皮的"
glare," n. 闪耀光, 刺眼
v. 发眩光, 瞪视"
liar, n. 说谎者
henceforth, adv. 今后
proclaim," vt. 正式宣布, 公布, 声明, 赞扬, 显示出"
create,"vt. 创造, 造成"
importance," n. 重要,重要性"
tour," n. 旅游, 观光旅行, 任期
v. 旅行, 周游"
memory," n. 记忆,内存,回忆"
blend," vt. &vi. 混合
n. 混合物"
extract," n. 榨出物,精华,摘录
vt. 拔出,榨出,摘录,提取,选取
[计算机] 提取"
adverb," adj. 副词的
n. 副词"
dissatisfy," v. 使感觉不满,不满足"
approval," n. 批准, 认可, 同意, 赞同"
sweep," vt. 扫除,拂去,掠过,席卷,扫视,全胜
vi. 打扫,席卷,昂首阔步地走,连绵,全胜
n. 扫除,席卷,搜寻,挥动,范围,风帆,(竞赛中)全胜,连绵一片,赌金"
fixture," n. 固定装置或设备,体育运动项目,固定在某位置的人或物"
review," n. 检讨, 复习, 回顾, 评审
vt. 温习, 检讨, 评论, 检阅
vi. 写评论"
convention, n.会议； 全体与会者； 国际公约； 惯例，习俗，规矩
musical," adj. 音乐的
n. 音乐片"
allowance," n. 限额，定量
n. 津贴,零用钱"
cheerful," adj. 高兴的, 快乐的"
affirm," vt. 证实,断言,肯定
vi. 断言,申明"
insight, n. 洞察力
campus, n. (大学)校园
exterior," n. 外部, 表面, 外型
adj. 外部的, 外在的, 表面的
[计算机] 外部的"
anger," n. 怒，愤怒；忿怒
vt. 使发怒，激怒；恼火
vi. 发怒；恼火"
remainder," n. 剩余物, 其他的人, 残余 vt. 廉价出售 adj. 剩余的"
gold," adj. 金色的,金制的
n. 金子,金币,金黄色,金牌"
energetic," adj. 精力旺盛的,有力的,能量的"
factor," n. 因素,因子
vt. 把…因素包括进去
vi.作为因素"
jail," n. 监牢,监狱,拘留所
vt. 监禁,下狱"
lively,"adj. 活泼的, 活跃的, 栩栩如生的, 真实的"
bible," n. 圣经, 有权威的书"
detach," vt. 使分离, 拆卸
[计算机] 脱离"
abolish," vt. 废止,革除"
quiver," v. 颤抖, 振动
n. 震动, 颤抖, 箭袋，箭袋内的箭"
currently, adv. 现在，现时，目前，当前
efficient," adj. 效率高的,有能力的"
painting," n. 水彩画,油画"
ore," n. 矿, 矿石"
detective," adj. 侦探的
n. 侦探"
newly," adv. 崭新,新改,以新方法"
dove, n. 鸽子
stumble," n. 绊倒,失策
vi. 绊倒,失策,踌躇,无意中发现
vt. 绊倒,困惑"
sense," n. 侦测, 感官, 感觉; 理智; 意义
vt. 感觉, 了解; 检测"
prosperity," n. 繁荣,兴旺"
heal," vt. 痊愈,恢复,和解
vi. 痊愈"
typhoon, n. 台风
participant," adj. 参与的
n. 参加者,参与者"
specialty," n. 专门,特别,特性,特产"
apologize," v. 道歉
vi. 道歉,谢罪
vt. 道歉,谢罪,辩白"
penetration," n. 渗透,侵入,突破,"
error," n. 错误, 过失"
nostalgic," adj. 乡愁的, 怀旧的"
similar," adj. 相似的,类似的,相同,一样"
envelope," n. 信封, 封皮,壳层"
civilization," n. 文明,文化"
humid, adj. 潮湿的
galaxy," n. 银河, 一群显赫之人"
oppress," v. 使(心情等)沉重,使烦恼,压迫,压制某人
vt. 压迫,压制"
gene, n. 基因
analytic," adj. 分析的,分解的"
cartoon," n. 动画片
vt. 为...画漫画"
die," n. 金属模子,印模
v. 死
n. 骰子（一个小的正六面体）"
unanimous," adj. 全体一致的, 一致同意的"
liability," n. 责任, 可能性，债务, 不利因素"
strictly, adv. 严格地
raid," n. 袭击；突袭；搜捕；抢劫
vi. 对…进行突然袭击
vt. 袭击，突袭
n. (Raid)人名；(阿拉伯)拉伊德"
inadequate," adj. 不充分的,不适当的"
irreparable," adj. 不能修补的, 不能挽回的"
assignment," n. 分配,功课,任务,被指定的(课外)作业;(分派的)任务, 委派"
bless," vt. 赐福,祈佑,称颂上帝,使神圣,赋予"
abroad," adj. 在国外,海外(一般作表语)
adv. 到国外, 广为流传"
career," n. 生涯, 职业, 事业
vi. 猛冲, 飞跑
vt. 在...中急行"
ray," n. 光线, 射线, 雷(男子名)"
watchful," adj. 注意的, 警惕的"
clever," adj. 聪明的,机灵的"
mutual," adj. 共同的,相互的"
restore," vt. 恢复,归还,翻新"
upgrade," vt. 提高(上升,浓集,加强)
n. 提高(上升,浓集,加强)"
desire," n. 愿望, 欲望, 情欲
v. 向往, 要求, 请求
vt. 渴望"
signature," n. 签署,书帖,有特征的符号"
exceed," vt. 超过, 胜过, 超出界限
vi. 领先"
commander," n. 司令官, 指挥官"
chart," n. 图表
vt. 制成图表"
government," n. 政府,政体,统治"
interpretation," n. 解释,演出,翻译,互動"
handbook," n. 手册, 指南"
domain," n. 领域
[计算机] 域"
cushion," n. 垫子, 橡皮软垫, 缓冲
vt. 加垫褥, 放在垫子上, 保护, 减缓, 为...装垫子"
competitor," n. 竞争者,对手"
explain," vt. &vi. 解释,说明"
reinforce," vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持
n. 加强；加固物；加固材料"
motorway, n. (英）高速公路
roundabout," adj. 绕道的，迂回的
n. 远路，环形交叉路口
n. (英)旋转木马
n. 紧身短上衣"
execution," n. 实行,完成,执行"
research," n. 调查,研究
vt. &vi. 调查,研究"
impulse," n. 冲动, 驱动力, 倾向, 心血来潮
vt. 推动"
experience," n. 经历, 经验
vt. 经历, 体验"
joint," adj. 联合的, 共同的
n. 关节, 接合处
v. 连接, 贴合"
holy," adj. 神圣的,圣洁的,令人敬仰的"
absence, n. 没有；缺乏；缺席；不注意
plane," n.水平； 平面； 飞机； 木工刨
adj.平的，平坦的
vt.用刨刨平； 小船等擦着水面疾驶
vi.鸟滑翔"
usual, adj. 通常的
surprising," adj. 令人惊讶的
动词surprise的现在分词"
conduct," n. 行为, 举动, 品行
v. 引导, 指挥, 管理
vt. 导电, 传热"
politician," n. 政治家, 政客"
married, adj. 已婚的
temporary," adj. 暂时的,临时的
n. 临时工"
fluctuate," vi. 变动, 上下, 动摇
vt. 使动摇"
match," n. 比赛, 火柴, 对手, 般配的人, 配偶
v. 使...相配, 与...竞争, 相配"
frown," n. 皱眉, 不悦
vt. &vi. 皱眉头, 不同意"
whirl," v. 使...旋转,急转，回旋，迅速移动
n. 回旋, 旋转，繁忙，混乱，尝试"
guarantee," n. 保证(书), 担保(书)
n. 担保人; 抵押品
vt. 保证, 担保"
goodnight," int. 晚安, 再见"
cruelty," n. 残酷,残忍, 残酷的行为，虐待"
greatly," adv. 很, 非常"
automatically," adj. 不经思索的
adv. 自动地"
produce," n. 产品, 农作物
vt. 生产, 提出, 引起, 分娩, 制片
vi. 生产, 制造"
shallow," adj. 浅的, 肤浅的, 浅显易懂的
n. (pl.)浅滩, 浅处
v. 变浅"
upside-down," adj. 颠倒的, 乱七八糟的"
will," aux.将，将会； 会，要
n.愿意； 意志（力）； [法]遗嘱
vt.决心要； 将（财产等）遗赠某人； 用意志力驱使（某事发生）
vi.愿意， 希望， 想要"
bracket," n. 支架, 括号, 档次
vt. 支撑, 放在括号内, 归入一类, 包含, 支持"
retell," v. 复述
vt. 复述,再讲"
consent," n. 同意, 许可
v. 同意, 承诺"
collaborate," vi. 合作,通敌"
nerve," n. 神经(生物)，精神,勇气,叶脉
vt. 鼓起勇气"
taboo," n. 禁忌,禁止接近,禁止使用
adj. 禁忌的
vt. 禁忌,禁制,禁止"
basis," n. 基础,根据,主要成分"
spirit, n. 精神
provision," n. 规定, 条款; 供应(品); 预备
n. (pl.) 食物
vt. 向...供应食物"
undesirable," adj. 不受欢迎的, 不良的，不合意的，讨厌的
n. 不受欢迎的人，不良分子"
raw," adj. 生的,未加工的,原始的,不熟练的,寒冷的
n. 触到某人的痛处"
discomfort," n. 不便之处, 不适
vt. 使不适"
abandon," n. 放纵
vt. 放弃,遗弃,沉溺"
notion," n. 观念,想法,主张"
pick," n. 采摘, 精选,鹤嘴锄,精品, 收获量
vt. 摘,挑选,挑惕,剔除,戳,撬
vi. 慎选, 凿, 吹毛求疵, 采收"
motor," adj. 机动的,有引擎的，汽车的
n. 发动机,马达，汽车
vt. & vi. （用引擎）驱动"
burden," n. 负担, 重载
v. 使负重, 装载, 烦扰"
hierarchy," n. 等级制度，层级[计],统治集团"
resort," (渡假)胜地, 手段, 凭借"
poll," n. 投票,民意测验,民意,票数
vt. 做民意测验,获得...票,剪树枝 
vi. 投票"
luxurious," adj. 奢侈的, 豪华的"
earnest," n. 真诚,重要的东西,定金,保证
adj. 真诚的,重要的"
load," n. 负荷, 重担, 装载量
v. 装载, 装填, 担负, 给(枪)装子弹
[计算机] 装入"
strain," n. 张力；拉紧；负担；扭伤；血缘
vi. 拉紧；尽力
vt. 拉紧；滥用；滤去；竭力"
quartz, n. 石英
era," n. 纪元, 时代, 年代"
permanent," adj. 永久的, 持久的
n. (口)烫发"
lighten," v. 点亮, 变亮, 减轻"
tradesman," n. 零售商, 工匠"
noise," n. 声音,响声,喧哗声,噪声
vt. 谣传
vi. 大声说话, 发出噪音"
haul," n. 拖;大批赃物;一网的捕获量;拖运货物的距离
vt. 用力拖拉,用车运送,改变方向,把某人带上来审问或训斥
vi. 拉,行进,提供交通,改变风向"
somebody," pron. 某人, 有人
n. 重要人物"
state," n. 州, 国, 情形
adj. 国家的, 州的, 正式的
vt. 说, 陈述, 声明, 规定"
sober," adj. 冷静的，清醒的；未醉的
vt. 使严肃；使醒酒，使清醒"
monopoly," n. 垄断,专利, 独占，控制"
essentially," adv. 本质上,本来"
clue," n. 线索
vt. 提示"
venture," n. 冒险,风险,投机
vt. 敢尝试,谨慎地做，冒险一试
vi. 冒险做"
wasteful," adj. 浪费的, 不经济的"
final," adj. 最后的 决定了的
n. 决赛,期末考试"
postal," adj. 邮政的
n. [美]明信片"
charter," n. 特许(状),执照,宪章,契据
vt. 特许,发特许执照
adj. 特许的"
urban, adj. 城市的
condenser," n. 凝结器, 凝缩器, 冷却器"
mischief," n. 损害, 伤害，灾祸, 恶作剧"
hypothesis," n. 假设, 猜测, 前提"
consequence," n. 结果,后果"
foreign," adj. 外国的,外交的,不相关的"
development," n. 发展,显影, 开发区, 开发"
accept," vi.承认； 同意； 承兑
vt.接受； 承认； 承担； 承兑"
elephant," n. 大象, 庞大笨拙难处理的事物"
mud," n. 泥,泥浆,恶意诽谤和攻击
vt. 弄脏,污蔑"
consumption, n. 消费
allege," vt. 断言,宣称"
cement," n. 水泥,纽带,接合剂,牙骨质,补牙物,基石
vt. 接合,用水泥涂
vi. 接合起来"
thousand," adj. 千,成千"
internal," adj. 国内的, 内在的，身体内部的"
van," n. 货车,先驱
vt. 用货车运"
exclude," vt. 除外,排除,拒绝
[计算机] 排除"
relationship," n. 关系, 关联"
few," adj. 很少的,不多的,少数的
int. 少数的
adj. 少数的"
diminish," vt. 减少,变小, 减损
vi. 变少, 逐渐变细"
conductivity," n. [物]传导性, 传导率"
tar," n. 焦油,柏油
n. 水手
vt. 涂以焦油"
sickness, n. 疾病
faint," n. 昏厥, 昏倒
adj. 微弱的, 无力的, 模糊的
v. 昏倒"
disposal," n. 处理,消除,销毁,处置
n. 弃菜碾碎器"
Jewish, adj. 犹太人的
impetus," n. 动力,推动力"
elect," n. 当选人, 被选的人, 上帝的选民
adj. 被选的, 选出的
v. 选举, 选择"
enlarge," v. 扩大, 增大"
entire," adj. 全部的,完整的，同性质的，纯正的，全面的"
Marxism, n. 马克思主义
packet," n. 储存器,讯息封,小包
v. 打包,装进小包"
postpone," v. 延期
vt. 推迟,延期"
import," n. 进口
vi. 进口,输入
vt. 输入,进口"
telescope," n. 望远镜
v. 缩短, 压缩"
association," n. 联合,结合,交往,协会,社团,联想"
contain," vt. 包含,容纳,克制,抑制
vi. 自制"
cock," n. 公鸡，雄禽，（男子间友好的互称用语）老兄，阴茎
vt. 立起，竖起
vi. 昂首阔步地走"
tradition," n. 传统, 惯例"
stool," n. 凳子, 搁脚凳,便桶,根株
vi. 引诱"
passport, n. 护照
circular," adj. 循环的,圆形的
n. 传单,通报"
nominate," vt. 提名, 指派, 登记赛马参加比赛"
soil," n. 土地,土壤
v. 弄脏,(使)变脏
vi. 变脏
vt. 弄脏"
stern," n. 尾部,船尾
adj. 严厉的,坚决的,可怖的"
tape," n. 录像带, 录音带, 磁带, 胶带
vt. 用带子捆起, 给...录音
vi. 录音"
meeting, n. 会议
slum," n. 贫民窟
vi. 访问贫民区"
stock," n.股份，股票； 库存； 树干； 家畜
adj.常备的，存货的； 陈旧的
vt.提供货物； 备有
vi.出新芽； 囤积"
adequate," adj. 足够的, 充足的, 适当的, 能胜任的"
limp," n. 跛行
adj. 柔软的,无力的,软弱的
vi. 跛行,蹒跚"
reliance," n. 信赖,所信赖的人或物"
store," n. 商店,贮藏,仓库
vt. 储存,贮藏,供给,保存
adj. 储备的
(在计算机里)存贮；记忆"
furthest, adv.&amp;adj. 最远
sin," n. 罪,罪孽,过失
vi. 犯罪,违反"
chip," n. 薄片,碎屑，芯片
vt. 削,切,削成碎片
vi. 折断成碎片"
earthenware, n. 陶器
blaze," n. 火焰,烈火
vi. 燃烧,发光
vt. 燃烧,宣布,在树皮上刻痕,领导,开拓"
Australian," adj. 澳大利亚的
n. 澳大利亚人"
destination," n. 目的地,终点,景点"
suburb, n. 郊区
orchard, n. 果园
property, n. 财产; 性质; 道具
brilliant," adj. 灿烂的,有才气的,杰出的"
peak," n. 山顶,顶点,帽舌
vi. 到达高点,消瘦
vt. 使到达顶峰,竖起
adj. 处于顶峰状态的"
latter," adj. 后面的,后者的
pron.&amp;n. 后者"
explosion," n. 爆炸,爆发,激增"
prior," adj. 更重要的, 较早的, 在先的
adv. 居先
n. 小修道院院长; 大修道院副院长"
biology, n. 生物学
gifted," adj. 有天赋的, 有才华的"
persecute, vt. 迫害
sit," vt. 坐,担任,开会,孵
vi. 坐,孵
n. 坐"
bundle," n. 捆,束,一批,一大笔钱
vt. 捆,匆匆送走,附赠
vi. 匆忙"
restraint," n. 抑制,克制,束缚"
ash," n. 灰, 灰烬"
mighty," adj. 强有力的,极度的
adv. 很"
bacon," n. 咸肉,熏肉"
tug," n. 用力拉, 拖船
v. 用力拉"
proton, n. 质子
wise," adj. 明智的,有学问的,有智慧的,聪明的
n. 方式
vt. 引导
vi. 学"
install," v. 安装,安置,使...就职
n.[计算机] 安装,DOS命令 : 装入结束且驻留软件"
around," adj. 大约, 在现存范围内
adv. 大约,到处,在周围
prep. 在...附近, 到处"
simple," adj. 简单的,无辜的,天真的,基本的,纯粹的
n. 平民,精神病人,草药"
field," n. 领域；牧场；旷野；战场；运动场
vi. 担任场外队员
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场；(通常成功地)回答，处理(问题)"
discern," vt.看出； 理解，了解； 识别，辨别
vi.辨明，分清"
width," n. 宽度,广度,某一宽度的材料"
bottom," n. 底部;臀部;船身;水底;服装下面的部分;低洼地;底色;尽头
adj. 底部的
vt. 给...装底,建立基础,到达底部
vi. 到达底部,垫底，降到最低点"
hunt," n. 狩猎, 追捕, 搜寻
v. 狩猎, 打猎, 搜索"
European," adj. 欧洲的
n. 欧洲人"
oak," n. 橡树, 橡木
adj. 橡木制的"
suspicion," n. 猜疑,怀疑"
maltreat, vt. 虐待
negative," adj. 否定的,负的,消极的
n. 底片，负数，否定
vt. 否定"
equator, n. 赤道
firm," n. 商行,公司
vt. (使)变得坚实,定案
vi. 变硬,恢复
adj. 坚定的,坚固的,结实的
adv. 稳固地,坚定地"
promptly," adv. 敏捷地,迅速地"
hedge," n. 树篱,防止财产损失的方法
vt. 包围,限制
vi. 种树篱,拐弯抹角,保护自己不受财产损失
adj. 树篱的,篱笆边的"
affiliate," n. 联号(联播台,同伙),附属机构,分公司
vt. &vi. 合并(使...加入,追源)"
medicine," n. 药, 医学"
greeting," n. 问候,打招呼"
eclipse," n. 日蚀,月蚀,衰落
v. 引起日蚀,引起月蚀,使...黯然失色"
consumer," n. 消费者,用户, 消费品"
expense," n. 消费,支出"
elegant," adj. 优雅的, 精美的, 俊美的"
vex, vt. 恼怒，使恼火
appoint," vt. 任命,指定,预约,装饰
vi. 行使任命权"
imaginative, adj. 富于想象力的
itself," pron. 它自己, 它本身"
credit," n. 信用, 荣誉, 贷款, 学分
v. 归功于, 赞颂, 信任"
employer, n. 雇主
payment," n. 支付, 付款"
fix," vt. &vi. 使...固定,修理,准备
n. 困境, (船只、飞机等的)定方位,贿赂"
crack," vt.破裂，打开； （使…）开裂； 说（笑话）； 开瓶
vi.断裂，折断； 碎裂声，爆裂声； 镜子破裂了； 失去控制，衰退
n.裂缝； 试图； 缝隙； （可听到响声的）重击
adj.训练有素的； 技艺高超的； 优秀的； 一流的"
bald," adj. 秃头的,单调的
vt. &vi. 使变秃头"
react," vt. 作出反应
vi. 起反应, 起作用, 反攻"
unit," n. 单位, 单元"
proposition," n. （难办或诱人的）事情，任务；见解；观点；（美国的）法律修正案；提议；建议；提案
vt. 向…提出下流的要求；向…提出猥亵的要求"
quilt," n. 被子,被状物
vt. 缝被, 缝制, 用垫料填塞
vi. 制作被子, 做缝制工作"
hide," vt.隐藏； 躲避，隐匿，躲藏； 遮蔽，覆盖
vi.隐瞒； 遮住； 遮挡； 掩盖
n.兽皮； <口>生命； <口>人的皮肤； （观看野生动物的）隐蔽处"
resemblance, n. 相像，相似
logical," adj. 符合逻辑的,逻辑上的,有推理能力的"
advanced," adj. 高级的, 先进的"
impurity," n. 不纯, 杂质"
swell," n. 增大,隆起的部分, 波浪
adj. 优秀的, 时髦的
vi. 渐增, 膨胀, 积聚, 情感迸发
vt. 使情感迸发, 扩大, 使膨胀"
refinery, n. 精练厂
stone," n.石头； 宝石； 矿石； （膀胱或肾脏中的）结石
vt.向扔石块； 用石头铺； 以石掷向； 除（水果的）硬核
adj.石制的； 石头似的； [S-]石器时代的； 粗陶制的
adv.石一般的"
fry," n. (美)法式炸薯条
vt. 油煎,油炸，炸焦
vi. 油炸，烧焦"
delicious," adj. 可口的, 美味的"
expend," v. 花费,消耗,支出"
significant," adj. 有意义的, 意味深长的; 相当数量的; 重要的, 重大的
n. (复)有意义的事物; 标志"
freight," n. 船货,运费,货运
vt. 装货,运送,使充满（某种心情或口气）"
stick," vt.& vi.粘贴； 张贴； 插入； 刺入
vt.容忍； 产生作用； （尤指迅速或随手）放置； 阻延或推迟
n.棍棒，棍枝； 枝条； 操纵杆； 球棍"
retain," vt. 保持, 保留; 记住"
cough," n. 咳嗽
vt. &vi. 咳嗽"
theirs," pron. 他(她, 它)们的"
delete, vt. 删除
hazard," n. 冒险,危险,危害
v. 冒...的危险,赌运气"
starve," v. 使饿死, 饿得要死"
rapid," adj. 迅速的,急促的
n. 急流"
eve," n. 前夜,前夕
n. [圣]夏娃"
moral," adj. 道德(上)的,有道德的
n. 品行,寓意,道德"
transform," vt. 转换,变形
vi. 改变
n. 变形"
radiate," v. 放射, 散发, 辐射"
likewise," adv. 同样地,此外,（表示感觉相同）我也是"
experiment," n. 实验,试验,尝试
vi. 做实验,尝试"
patent," n. 专利权,执照,专利品
adj. 专利的,显著的,新奇的
v. 取得...的专利权,请准专利"
pulse," n. 脉冲,脉波,脉搏
vt. &vi. 跳动,脉跳"
